x,y,z
-0.0234375,0.609375,-0.42999999999999994
-0.0234375,0.5703125,-0.45999999999999996
-0.0234375,0.53125,-0.5
-0.0234375,0.4921875,-0.5249999999999999
-0.0234375,0.453125,-0.55
-0.0234375,0.3359375,-0.5
-0.0234375,0.296875,-0.55
-0.0234375,0.21875,-0.3400000000000001
0.015625,0.6484375,-0.345
0.015625,0.609375,-0.3500000000000001
0.015625,0.5703125,-0.3899999999999999
0.015625,0.53125,-0.395
0.015625,0.4921875,-0.365
0.015625,0.453125,-0.3999999999999999
0.015625,0.4140625,-0.3999999999999999
0.015625,0.375,-0.395
0.015625,0.3359375,-0.3999999999999999
0.015625,0.296875,-0.42500000000000004
0.015625,0.2578125,-0.4950000000000001
0.0546875,0.6875,-0.32000000000000006
0.0546875,0.6484375,-0.25
0.0546875,0.609375,-0.26
0.0546875,0.5703125,-0.32499999999999996
0.0546875,0.53125,-0.32000000000000006
0.0546875,0.4921875,-0.30499999999999994
0.0546875,0.453125,-0.33499999999999996
0.0546875,0.4140625,-0.3400000000000001
0.0546875,0.375,-0.3500000000000001
0.0546875,0.3359375,-0.3400000000000001
0.0546875,0.296875,-0.3600000000000001
0.0546875,0.2578125,-0.405
0.0546875,0.21875,-0.4650000000000001
0.0546875,0.1796875,-0.5349999999999999
0.09375,0.6875,-0.33000000000000007
0.09375,0.6484375,-0.2749999999999999
0.09375,0.609375,-0.2849999999999999
0.09375,0.5703125,-0.30000000000000004
0.09375,0.53125,-0.2749999999999999
0.09375,0.4921875,-0.2849999999999999
0.09375,0.453125,-0.28
0.09375,0.4140625,-0.29000000000000004
0.09375,0.375,-0.31499999999999995
0.09375,0.3359375,-0.32000000000000006
0.09375,0.296875,-0.33499999999999996
0.09375,0.2578125,-0.355
0.09375,0.21875,-0.3999999999999999
0.09375,0.1796875,-0.41999999999999993
0.09375,0.140625,-0.52
0.1328125,0.6875,-0.32000000000000006
0.1328125,0.6484375,-0.31000000000000005
0.1328125,0.609375,-0.29499999999999993
0.1328125,0.5703125,-0.2849999999999999
0.1328125,0.53125,-0.2649999999999999
0.1328125,0.4921875,-0.29499999999999993
0.1328125,0.453125,-0.2749999999999999
0.1328125,0.4140625,-0.30000000000000004
0.1328125,0.375,-0.31000000000000005
0.1328125,0.3359375,-0.31499999999999995
0.1328125,0.296875,-0.3400000000000001
0.1328125,0.2578125,-0.355
0.1328125,0.21875,-0.365
0.1328125,0.1796875,-0.3600000000000001
0.1328125,0.140625,-0.42999999999999994
0.1328125,0.1015625,-0.5049999999999999
0.171875,0.6875,-0.3400000000000001
0.171875,0.6484375,-0.33000000000000007
0.171875,0.609375,-0.29000000000000004
0.171875,0.5703125,-0.2849999999999999
0.171875,0.53125,-0.27
0.171875,0.4921875,-0.2649999999999999
0.171875,0.453125,-0.29499999999999993
0.171875,0.4140625,-0.30000000000000004
0.171875,0.375,-0.31499999999999995
0.171875,0.3359375,-0.32499999999999996
0.171875,0.296875,-0.33000000000000007
0.171875,0.2578125,-0.28
0.171875,0.21875,-0.3400000000000001
0.171875,0.1796875,-0.33000000000000007
0.171875,0.140625,-0.3700000000000001
0.171875,0.1015625,-0.43500000000000005
0.2109375,0.6875,-0.3600000000000001
0.2109375,0.6484375,-0.33000000000000007
0.2109375,0.609375,-0.30499999999999994
0.2109375,0.5703125,-0.2849999999999999
0.2109375,0.53125,-0.2749999999999999
0.2109375,0.4921875,-0.2649999999999999
0.2109375,0.453125,-0.29000000000000004
0.2109375,0.4140625,-0.29499999999999993
0.2109375,0.375,-0.2849999999999999
0.2109375,0.3359375,-0.2649999999999999
0.2109375,0.296875,-0.2450000000000001
0.2109375,0.2578125,-0.21500000000000008
0.2109375,0.21875,-0.30000000000000004
0.2109375,0.1796875,-0.29499999999999993
